,bed,bath,sqft,price,lat,long
2829,3,2.1,1590,889000,34.12032402040816,-118.21102136734694
2830,4,3.0,2198,795000,33.946525,-117.993898
2831,3,3.0,2285,875000,33.913577545454544,-118.34939724242425
2832,3,3.0,2393,849900,33.81001916326531,-118.19817487755103
2834,4,3.0,2089,869000,33.96137302098086,-118.11954142055382
2835,3,2.0,1768,805000,34.09855846140328,-118.06008831065206
2836,3,2.0,1429,839000,33.8756621,-118.32875517490335
2837,2,1.0,1230,839000,33.83249300079507,-118.33701992308566
2838,4,3.0,1794,825000,34.2699874,-118.5086482
2839,3,2.0,1843,895000,34.08369666666667,-118.12110922222223
2840,3,2.1,2057,819999,33.80014973336414,-118.14330946404985
2842,3,1.0,1386,800000,34.0578089,-118.303077
2844,4,3.1,2371,898000,34.078680192309534,-118.07551480926678
2846,2,1.0,2800,835000,34.18961754054054,-118.51862186486485
2848,2,3.1,1481,900000,34.04547845276031,-118.77542331403312
2849,3,3.0,1852,839000,34.25478120408163,-118.31237134693878
2851,4,3.0,2619,850000,33.98832715384615,-117.91440461538461
2852,4,3.0,2400,799000,34.01583386666667,-118.07436776666667
2853,4,2.1,2076,799900,34.195310551020405,-118.4978583877551
2854,4,2.1,2227,869000,34.12588991836735,-117.7040142244898
2855,3,2.0,1320,799000,34.14766703003553,-117.98412498642426
2856,4,3.1,2027,899950,34.16773799280475,-118.60156267515158
2859,3,2.0,1493,799000,34.163351142857145,-118.50098342857143
2860,4,2.1,2637,868000,34.126865,-117.72365115384615
2861,3,3.0,2560,799900,34.113994960472255,-117.81650842274698
2862,4,3.0,2614,849000,34.1035127,-117.7245901
2863,2,1.0,1210,860000,34.12759934935818,-118.23435003011114
2864,4,3.0,1886,849999,33.8135312,-118.1109337
2866,2,1.0,1390,850000,33.9746384,-118.3681056
2867,5,2.0,1948,870000,34.15867788,-118.15448536
2868,3,2.0,1298,899000,34.1089282,-118.2013975
2869,3,2.0,1875,895000,34.1816703,-118.4487282
2871,2,1.0,1255,879000,34.16283946076736,-118.23773868182306
2872,6,5.1,4309,829000,34.07401840816326,-117.76527548979593
2873,3,2.0,1650,899000,34.233629,-118.266268
2874,2,1.0,996,799000,34.205989382550335,-118.57614725503356
2875,3,3.0,1252,849000,34.138812959183674,-118.20725442857143
2877,3,2.0,1332,850000,33.907671791770824,-118.3645927804889
2878,3,2.0,1702,840000,33.96887206156941,-118.36723213967495
2879,3,3.0,1330,899000,34.1661670417423,-118.61137738399304
2883,3,2.0,1622,848000,34.153761200000005,-118.11180857497547
2885,4,3.0,2116,825000,33.80079676590841,-118.3124161870127
2886,4,2.0,1940,849000,34.159305916915216,-118.59068190146446
2887,1,1.0,608,798000,34.09095610204081,-118.25657591836735
2888,3,2.1,1826,848000,34.164833758620695,-118.60458510344829
2889,5,4.0,2631,799000,34.44353985,-118.54522855218167
2890,3,2.0,1368,839000,33.9183684,-118.3186694
2891,3,1.0,1013,883000,33.76863171428572,-118.13547514285715
2892,3,2.1,1687,799000,34.158227170731706,-118.36918407317073
2893,3,2.1,1619,949000,34.2331423,-118.239873
2894,4,3.0,2996,975000,34.12792561193221,-117.82307804507602
2896,3,3.0,2265,899900,34.12714490163254,-118.70597361571971
2897,5,4.0,2810,980000,34.137767128979284,-117.99941045428436
2898,2,1.0,1054,999999,34.09154961471347,-118.16400290200892
2900,4,1.0,1822,900000,34.074382110167186,-118.30419754858295
2903,3,2.0,1302,999999,34.20598938983051,-118.19567818644067
2904,3,2.0,2803,899900,33.805661574168376,-118.31441441945765
2906,5,3.0,3012,990000,34.04828112056124,-118.15657373401314
